Element,Radionuclide,Common name,Latin name,Compartment,CR,C_plant,C_soil,Country,Site,K-G class,Contamination,Experiment,Soil depth
Ra,Ra-226,Greater galangal,Alpinia galangal,Leaves,<0.002,<0.2,4.10E+01,Thailand,Phayao Province,Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Leaves,5.60E-02,2.90E+00,5.20E+01,Thailand,Phayao Province,Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Leaves,1.80E+00,5.40E+02,3.10E+02,Thailand,Phayao Province,Aw,N,F,0-20
Ra,Ra-226,Banana,Musa paradisiaca,Leaves,1.60E-01,2.10E+00,1.30E+01,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Banana,Musa paradisiaca,Leaves,3.20E+00,7.30E+02,2.30E+02,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Banana,Musa paradisiaca,Leaves,6.30E-01,1.90E+00,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Congress,Chromolaena odorata,Leaves,8.00E-02,1.10E+00,1.30E+01,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Congress,Chromolaena odorata,Leaves,2.60E+00,5.90E+02,2.30E+02,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Congress,Chromolaena odorata,Leaves,7.00E-01,2.10E+00,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Congress,Chromolaena odorata,Leaves,1.90E-01,2.30E+00,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Congress,Chromolaena odorata,Leaves,3.10E+00,5.70E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Congress,Chromolaena odorata,Leaves,5.80E-01,2.50E+00,4.30E+00,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Congress,Chromolaena odorata,Leaves,1.80E-01,2.20E+00,1.20E+01,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Congress,Chromolaena odorata,Leaves,3.80E+00,5.10E+02,1.40E+02,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Congress,Chromolaena odorata,Leaves,6.90E-01,2.90E+00,4.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Sr,Sr-90,Congress,Chromolaena odorata,Leaves,1.60E+00,1.90E+00,1.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Eakky,Calotropis gigantea,Leaves,1.70E-01,2.10E+00,1.30E+01,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Eakky,Calotropis gigantea,Leaves,3.00E+00,6.90E+02,2.30E+02,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Eakky,Calotropis gigantea,Leaves,6.70E-01,2.00E+00,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Tikte,Cassia tora,Leaves,3.50E-01,4.40E+00,1.30E+01,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Tikte,Cassia tora,Leaves,1.70E+00,3.80E+02,2.30E+02,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Tikte,Cassia tora,Leaves,7.30E-01,2.20E+00,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Champa,Michelia champaca,Leaves,2.80E-01,3.60E+00,1.30E+01,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Champa,Michelia champaca,Leaves,1.60E+00,3.60E+02,2.30E+02,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Champa,Michelia champaca,Leaves,6.30E-01,1.90E+00,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Badam,Terminalia catappa,Leaves,6.00E-02,7.70E-01,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Badam,Terminalia catappa,Leaves,1.30E+00,2.50E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Badam,Terminalia catappa,Leaves,2.10E-01,9.00E-01,3.00E+00,India,"Kaiga (A), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Cashew,Anacardium occidentale,Leaves,4.00E-02,4.70E-01,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Cashew,Anacardium occidentale,Leaves,7.30E-01,1.40E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Cashew,Anacardium occidentale,Leaves,1.20E-01,5.00E-01,4.30E+00,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Cashew,Anacardium occidentale,Leaves,3.00E-02,3.60E-01,1.20E+01,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Cashew,Anacardium occidentale,Leaves,1.00E+00,1.40E+02,1.40E+02,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Cashew,Anacardium occidentale,Leaves,2.90E-01,1.20E+00,4.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Jamun,Syzygium cumini,Leaves,8.00E-02,9.70E-01,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Jamun,Syzygium cumini,Leaves,8.00E-01,1.50E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Jamun,Syzygium cumini,Leaves,1.20E-01,5.00E-02,4.30E+00,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Jamun,Syzygium cumini,Leaves,3.00E-02,3.50E-01,1.20E+01,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Jamun,Syzygium cumini,Leaves,8.50E-01,1.10E+02,1.40E+02,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Jamun,Syzygium cumini,Leaves,2.10E-01,9.00E-01,4.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Sr,Sr-90,Jamun,Syzygium cumini,Leaves,5.70E-01,<1.2,1.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Teak,Tectona grandis,Leaves,2.50E-01,3.10E+00,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Teak,Tectona grandis,Leaves,2.00E+00,3.70E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Teak,Tectona grandis,Leaves,5.30E-01,2.30E+00,4.30E+00,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Teak,Tectona grandis,Leaves,1.20E-01,1.40E+00,1.20E+01,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Teak,Tectona grandis,Leaves,1.60E+00,2.20E+02,1.40E+02,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Teak,Tectona grandis,Leaves,4.30E-01,1.80E+00,4.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Sr,Sr-90,Teak,Tectona grandis,Leaves,1.10E+00,1.30E+00,1.20E+00,India,"Kaiga (C), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Ra,Ra-226,Mango,Mangifera indica,Leaves,1.10E-01,1.30E+00,1.20E+01,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Mango,Mangifera indica,Leaves,9.70E-01,1.80E+02,1.90E+02,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Mango,Mangifera indica,Leaves,2.30E-01,1.00E+00,4.30E+00,India,"Kaiga (B), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
K,K-40,Rice,Oryza sativa,Grains,2.70E+00,2.70E+02,1.00E+02,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,2.90E+00,2.60E+02,9.20E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.50E+00,1.30E+02,8.60E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.60E+00,1.70E+02,1.00E+02,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.00E+00,1.10E+02,1.10E+02,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,2.20E+00,1.30E+02,5.80E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.20E+00,2.20E+02,1.80E+02,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,8.60E-01,9.60E+01,1.10E+02,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,8.70E-01,1.10E+02,1.30E+02,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.40E+00,1.50E+02,1.00E+02,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,2.30E+00,1.40E+02,6.20E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,7.10E-01,8.40E+01,1.20E+02,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,8.50E-01,1.40E+02,1.60E+02,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,6.50E-01,1.50E+02,2.30E+02,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.20E+00,1.70E+02,1.40E+02,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Grains,1.10E+00,1.10E+02,9.30E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,5.80E+00,5.90E+02,1.00E+02,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,2.00E+00,1.90E+02,9.20E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,1.00E+01,8.90E+02,8.60E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,7.90E+00,8.10E+02,1.00E+02,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,1.50E+00,1.60E+02,1.10E+02,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,3.70E+00,2.10E+02,5.80E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,4.90E+00,8.60E+02,1.80E+02,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,5.30E+00,5.90E+02,1.10E+02,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,2.90E+00,3.70E+02,1.30E+02,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,6.20E+00,6.40E+02,1.00E+02,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,8.00E+00,4.90E+02,6.20E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,5.80E+00,6.70E+02,1.20E+02,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,2.50E+00,4.10E+02,1.60E+02,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,1.60E+00,3.60E+02,2.30E+02,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,3.70E+00,5.10E+02,1.40E+02,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Straw,6.50E+00,6.10E+02,9.30E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,7.60E+00,7.70E+02,1.00E+02,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,8.80E+00,8.10E+02,9.20E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,7.80E-01,6.70E+01,8.60E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,4.80E-01,4.90E+01,1.00E+02,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,1.90E+00,2.10E+02,1.10E+02,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,2.80E+00,1.60E+02,5.80E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,7.20E-01,1.30E+02,1.80E+02,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,9.30E-01,1.00E+02,1.10E+02,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,1.70E+00,2.20E+02,1.30E+02,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,1.30E+00,1.30E+02,1.00E+02,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,1.40E+00,8.90E+01,6.20E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,6.40E-01,7.50E+01,1.20E+02,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,6.30E-01,1.00E+02,1.60E+02,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,4.90E-01,1.10E+02,2.30E+02,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,6.10E-01,8.40E+01,1.40E+02,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
K,K-40,Rice,Oryza sativa,Roots,9.80E-01,9.10E+01,9.30E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,7.80E-02,3.20E+00,4.10E+01,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,1.20E-01,4.40E+00,3.70E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,3.20E-01,3.90E+00,1.20E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,<1.4E-2,<0.9,6.50E+01,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,1.10E-01,4.10E+00,3.70E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,1.80E-01,8.80E+00,5.00E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,6.30E-02,3.20E+00,5.00E+01,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,1.20E-01,9.10E+00,7.60E+01,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,5.80E-02,3.50E+00,6.00E+01,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,2.30E-02,1.30E+00,5.60E+01,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,2.80E-01,2.90E+00,1.00E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,8.10E-01,1.10E+01,1.30E+01,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,<1.6E-2,<0.9,5.30E+01,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,6.90E-02,2.80E+00,4.10E+01,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,<1.2E-2,<0.9,7.10E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Grains,6.50E-02,2.90E+00,4.50E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.60E-02,1.50E+00,4.10E+01,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,5.10E-02,1.90E+00,3.70E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,4.80E-02,6.00E-01,1.20E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,4.60E-02,3.00E+00,6.50E+01,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,5.10E-02,1.90E+00,3.70E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,4.60E-02,2.30E+00,5.00E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,8.00E-03,4.00E-01,5.00E+01,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,2.70E-02,2.10E+00,7.60E+01,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,2.60E-02,1.60E+00,6.00E+01,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.20E-02,1.80E+00,5.60E+01,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.50E-01,3.60E+00,1.00E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,6.70E-02,9.00E-01,1.30E+01,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.90E-02,2.10E+00,5.30E+01,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.90E-02,1.60E+00,4.10E+01,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,1.20E-02,9.00E-01,7.10E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Straw,3.80E-02,1.70E+00,4.50E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,4.10E-01,1.70E+01,4.10E+01,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,4.50E-01,1.70E+01,3.70E+01,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,3.30E-01,4.10E+00,1.20E+01,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,1.70E-01,1.10E+01,6.50E+01,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,1.60E+00,5.70E+01,3.70E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,3.80E-01,1.90E+01,5.00E+01,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,2.80E-01,1.40E+01,5.00E+01,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,2.80E-01,2.10E+01,7.60E+01,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,3.00E-01,1.80E+01,6.00E+01,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,3.10E-01,1.70E+01,5.60E+01,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,7.80E-01,8.10E+00,1.00E+01,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,9.20E-01,1.20E+01,1.30E+01,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,6.90E-01,3.70E+01,5.30E+01,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,4.20E-01,1.70E+01,4.10E+01,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,2.70E-01,1.90E+01,7.10E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Pb,Pb-210,Rice,Oryza sativa,Roots,4.80E-01,2.10E+01,4.50E+01,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,N,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,2.00E-01,9.00E-01,4.50E+00,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.50E-01,1.10E+00,7.50E+00,India,"Experiment field (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,3.00E-01,2.10E+00,6.90E+00,India,"Experiment field (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.90E-01,1.10E+00,5.60E+00,India,"Experiment field (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,6.60E-02,8.00E-01,1.20E+01,India,"Hartuga (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,2.90E-01,1.40E+00,4.70E+00,India,"Hartuga (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,3.00E-01,1.90E+00,6.30E+00,India,"Hartuga (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,2.60E-01,1.20E+00,4.60E+00,India,"Hartuga (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.00E-01,8.00E-01,8.00E+00,India,"Kuchegar (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.70E-01,1.50E+00,8.90E+00,India,"Kuchegar (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,3.10E-01,9.00E-01,2.90E+00,India,"Kuchegar (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,3.40E-01,1.40E+00,4.10E+00,India,"Kuchegar (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.10E-01,8.00E-01,7.20E+00,India,"Virje (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,2.20E-01,6.10E+01,5.50E+00,India,"Virje (2), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,1.90E-01,2.20E+00,1.20E+01,India,"Virje (3), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Grains,2.30E-01,1.90E+00,8.40E+00,India,"Virje (4), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
Cs,Cs-137,Rice,Oryza sativa,Straw,4.90E-01,2.20E+00,4.50E+00,India,"Experiment field (1), Uttara Kannada District, Karnataka State",Am,NU,F,0-20
